Secondary School Code,School Name,Address Line #1,Address Line #2,Domestic Address #3,City,State,ZIP,Foreign Address #3,Country Name,Website
3,MY SCHOOL IS NOT LISTED DOMEST,250 VESEY ST,THE COLLEGE BOARD SAT PROGRAM,,NEW YORK,NY,10281,1000,,
4,MY SCHOOL IS NOT LISTED-INTRNT,250 VESEY ST,THE COLLEGE BOARD SAT PROGRAM,,NEW YORK,NY,10281,1000,,
20,AMERICAN SAMOA CMTY COLLEGE,POST OFFICE BOX 2609,,,PAGO PAGO  SAMOA,AS,96799,,,
81,LANDMARK COLLEGE,RIVER RD S,TRANFER SERVICES,,PUTNEY,VT,5346,8702,,
115,COMMUNITY COLLEGE MICRONESIA,POST OFFICE BOX 159 KOLONIA,,,POHNPEI,FM,96941,,,
781,NORTHERN MARIANAS COLLEGE,POST OFFICE BOX 1250,COMMONWEALTH OF MARIANAS,,SAIPAN,MP,96950,,,
800,COLUMBIA COLLEGE,438 TERMINAL AVE,,,VANCOUVER,BC,V6A,0C1,CANADA,
836,U PUERTO RICO PONCE TECH U CL,POST OFFICE BOX 7186,,,PONCE,PR,731,,,
838,SELKIRK COLLEGE,BOX 1200,,,CASTLEGAR,BC,V1N,3J1,CANADA,
844,NOVA SCOTIA AGRICULTURAL COLL,NOVA SCOTIA AGRICULTURAL COLL,,,TRURO,NS,B2N,5.00E+03,CANADA,
845,EAST CENTRAL COLLEGE,1964 PRAIRIE DELL RD.,,,UNION,MO,63084,,,
847,DAWSON COLLEGE,3040 SHERBROOKE STREET W.,,,WESTMOUNT,QC,H3Z,1A4,CANADA,
852,UNIVESITY PUERTO RICO COLLIJO,UNEVERSETARIO TECH DE BAYAMON,RD 174-#170,,BAYAMON,PR,959,,,
862,CAMPION COLLEGE,C/O UNIVERSITY OF REGINA,,,REGINA,SK,S4S,0A2,CANADA,
875,CEGEP JOHN ABBOTT COLLEGE,POST BOX / CP 2000,,,ST ANNE DE BLVUE,QC,H9X,3L9,CANADA,
911,UNIVERSITY OF PR AT ARECIBO,653 KM8 SEC BARNC BARRS LS DUN,PO BOX 4010,,ARECIBO,PR,614,,,
916,CONCORDIA LUTHERAN COLLEGE,7128 ADA BOULEVARD,,,EDMONTON,AB,T5B,4.00E+04,CANADA,
922,FRANKLIN COLLEGE SWITZERLAND,STE 2746,420 LEXINGTON AVE,,NEW YORK,NY,10170,2,,
930,LETHBRIDGE COMMUNITY COLLEGE,3000 COLLEGE DRIVE SOUTH,,,LETHBRIDGE,AB,T1K,1L6,CANADA,
937,CHAMPLAIN REGIONAL COLLEGE,900 RIVERSIDE DR.,,,SAINT LAMERT,QC,J4P,3P2,CANADA,
962,CHAMPLAIN REGIONAL COLLEGE,2580 COLLEGE ST,,,SHERBROOKE,QC,J1M,2K3,CANADA,
976,UNIV OF NEW BRUNSWICK ST JOHN,PO BOX 5050,,,SAINT JOHN,NB,E2K,4L5,CANADA,
983,UNIVERSITY OF PUERTO RICO,PO BOX 6150,,,AGUADILLA,PR,604,6150,,
986,SOUTH CENTRAL CMTY COLLEGE,60 SARGENT DRIVE,,,NEW HAVEN,CT,6511,,,
1011,ALPENA COMMUNITY COLLEGE,666 JOHNSON STREET,,,ALPENA,MI,49707,,,
1013,AMERICAN ACADEMY OF ART,332 SOUTH MICHIGAN AVENUE,,,CHICAGO,IL,60604,,,
1049,BAY DE NOC COMMUNITY COLLEGE,2001 NORTH LINCOLN ROAD,,,ESCANABA,MI,49829,,,
1072,BELMONT TECHNICAL COLLEGE,120 FOX SHANNON PL,,,SAINT CLAIRSVILL,OH,43950,8751,,
1077,PRAIRIE STATE COLLEGE,202 SOUTH HALSTEAD,,,CHICAGO HEIGHTS,IL,60411,,,
1081,COLUMBIA STATE COMMUNITY COLL,POST OFFICE BOX 1315,HAMPSHIRE PIKE,,COLUMBIA,TN,38401,,,
1083,COLLEGE OF DUPAGE,425 FAWELL BLVD.,ASSESSMENT & TESTING OFFICE,,GLEN ELLYN,IL,60137,,,
1084,CHATTANOOGA STATE TECH CMTY CL,4501 AMNICOLA HWY,,,CHATTANOOGA,TN,37406,1018,,
1089,HAROLD WASHINGTON CLG CHICAGO,30 EAST LAKE STREET,,,CHICAGO,IL,60601,,,
1093,RICHARD J DALEY COLLEGE,7500 S. PULASKI RD.,,,CHICAGO,IL,60652,,,
1108,KASKASKIA COLLEGE,27210 COLLEGE RD.,,,CENTRALIA,IL,62801,,,
1111,TRUMAN COLLEGE,1145 W. WILSON AVE.,,,CHICAGO,IL,60640,,,
1126,COAHOMA COMMUNITY COLLEGE,3240 FRIARS POINT ROAD,,,CLARKSDALE,MS,38614,,,
1142,COPIAH-LINCOLN COMMUNITY COLL,HWY 51 SOUTH,P.O. BOX 649,,WESSON,MS,39191,,,
1143,CHATFIELD COLLEGE,20918 STATE RT 251,,,FAYETTEVILLE,OH,45118,,,
1148,COLUMBUS STATE COMMUNITY COLL,550 E. SPRING ST.,,,COLUMBUS,OH,43215,,,
1154,SPOON RIVER COLLEGE,23235 N COUNTY 22,,,CANTON,IL,61520,,,
1159,CUYAHOGA CMTY COLLEGE METRO,2900 COMMUNITY COLLEGE AVENUE,,,CLEVELAND,OH,44115,,,
1160,DANVILLE AREA CMTY COLLEGE,ATTN: RECORDS OFFICE,200 E MAIN STREET,,DANVILLE,IL,61832,5118,,
1191,EDISON STATE COMMUNITY COLLEGE,1973 EDISON DRIVE,,,PIQUA,OH,45356,,,
1194,INDIANA UNIVERSITY EAST CAMPUS,2325 CHESTER BOULEVARD,,,RICHMOND,IN,47374,,,
1196,EAST CENTRAL COMMUNITY COLLEGE,POST OFFICE BOX 129,,,DECATUR,MS,39327,,,
1197,EAST MISSISSIPPI COMMUNITY COL,PO BOX 158,,,SCOOBA,MS,39358,,,
1203,ELGIN COMMUNITY COLLEGE,BUILDING B RM 115,1700 SPARTAN DR,,ELGIN,IL,60123,7189,,
1211,ELIZABETHTOWN CMTY & TEC COLL,600 COLLEGE STREET RD,,,ELIZABETHTOWN,KY,42701,,,
1213,ENTERPRISE STATE JR COLLEGE,600 PLAZA DR,,,ENTERPRISE,AL,36330,3302,,
1225,CHARLES STEWART MOTT COLLEGE,1401 E COURT ST,,,FLINT,MI,48503,,,
1235,NORTHWEST STATE COMMUNITY COLL,22600 STATE ROUTE 34,,,ARCHBOLD,OH,43502,9517,,
1250,GOGEBIC COMMUNITY COLLEGE,E 4946 JACKSON ROAD,,,IRONWOOD,MI,49938,,,
1254,GRAND RAPIDS COMMUNITY COLLEGE,143 BOSTWICK AVENUE NORTH EAST,,,GRAND RAPIDS,MI,49503,,,
1255,GATEWAY TECHNICAL COLLEGE,1001 SOUTH MAIN STREET,,,RACINE,WI,53403,,,
1261,GLEN OAKS COMMUNITY COLLEGE,62249 SHIMMEL RD,,,CENTREVILLE,MI,49032,9784,,
1262,GADSDEN STATE CMTY COLLEGE,PO BOX 227,,,GADSDEN,AL,35902,227,,
1264,WALLACE CMTY COLL DOTHAN,1141 WALLACE DRIVE,,,DOTHAN,AL,36303,,,
1269,MORRISON INSTITUTE OF TECH,BOX 410,,,MORRISON,IL,61270,,,
1274,HOPKINSVILLE COMMUNITY COLLEGE,POST OFFICE BOX 2100,,,HOPKINSVILLE,KY,42241,,,
1293,HENRY FORD COMMUNITY COLLEGE,5101 EVERGREEN ROAD,,,DEARBORN,MI,48128,,,
1296,HINDS COMMUNITY COLLEGE,501 E MAIN ST,,,RAYMOND,MS,39154,9700,,
1298,HIWASSEE COLLEGE,225 HIWASSEE COLLEGE DR,,,MADISONVILLE,TN,37354,4005,,
1299,HOLMES JUNIOR COLLEGE,BOX 338,,,GOODMAN,MS,39079,,,
1307,HENDERSON COMMUNITY COLLEGE,2660 SOUTH GREEN STREET,,,HENDERSON,KY,42420,,,
1309,HOLY CROSS COLLEGE,54515 STATE ROAD 933 NORTH,PO BOX 308,,NOTRE DAME,IN,46556,308,,
1312,ILLINOIS CENTRAL COLLEGE,ONE COLLEGE DR.,,,PEORIA,IL,61635,,,
1326,ITAWAMBA COMMUNITY COLLEGE,602 WEST HILL STREET,,,FULTON,MS,38843,,,
1328,JEFFERSON COMMUNITY COLLEGE,109 EAST BROADWAY,,,LOUISVILLE,KY,40202,,,
1330,INTERNATIONAL BUSINESS COLLEGE,5699 COVENTRY LA.,,,FT WAYNE,IN,46804,,,
1340,JACKSON COMMUNITY COLLEGE,2111 EMMONS ROAD,,,JACKSON,MI,49201,,,
1346,JOLIET JUNIOR COLLEGE,1216 HOUBOLT AVENUE,,,JOLIET,IL,60436,,,
1347,JONES COUNTY JUNIOR COLLEGE,900 S COURT STREET,,,ELLISVILLE,MS,39437,,,
1352,JEFFERSON STATE COMMUNITY COLL,2601 CARSON ROAD,,,BIRMINGHAM,AL,35215,,,
1353,MISSISSIPPI GULF COAST C C,2226 SWITZER RD,,,GULFPORT,MS,39507,,,
1354,MISSISSIPPI GULF COAST C C,2300 HIGHWAY 90,,,GAUTIER,MS,39553,,,
1355,JEFFERSON DAVIS COMMUNITY COLL,220 ALCO DRIVE,,,BREWTON,AL,36426,,,
1356,CALHOUN COMMUNITY COLLEGE,PO BOX 2216,,,DECATUR,AL,35609,2216,,
1374,JOHN WOOD COMMUNITY COLLEGE,150 SOUTH 48TH STREET,,,QUINCY,IL,62301,,,
1375,KELLOGG COMMUNITY COLLEGE,450 NORTH AVENUE,,,BATTLE CREEK,MI,49016,,,
1376,KENDALL COLLEGE ART & DESIGN,17 FOUNTAIN STREET NW,,,GRAND RAPIDS,MI,49503,,,
1378,KALAMAZOO VALLEY CMTY COLLEGE,6767 WEST O AVENUE,,,KALAMAZOO,MI,49007,,,
1380,KANKAKEE COMMUNITY COLLEGE,100 COLLEGE DR,,,KANKAKEE,IL,60901,6505,,
1382,KIRTLAND COMMUNITY COLLEGE,10775 NORTH ST HELEN ROAD,,,ROSCOMMON,MI,48653,,,
1384,KENTUCKY MOUNTAIN BIBLE COLL,PO BOX 10,,,VANCLEVE,KY,41385,,,
1397,ILLINOIS VALLEY CMTY COLLEGE,815 NORTH ORLANDO SMITH AVENUE,,,OGLESBY,IL,61348,,,
1406,LINCOLN COLLEGE,300 KEOKUK ST,,,LINCOLN,IL,62656,1630,,
1409,LINDSEY WILSON COLLEGE,210 LINDSEY WILSON,,,COLUMBIA,KY,42728,1223,,
1414,LANSING COMMUNITY COLLEGE,430 NORTH CAPITOL AVENUE,,,LANSING,MI,48901,,,
1417,LORAIN COUNTY COMMUNITY COLL,1005 NORTH ABBE RD.,,,ELYRIA,OH,44035,,,
1422,LAKELAND COMMUNITY COLLEGE,7700 CLOCKTOWER DRIVE,,,KIRTLAND,OH,44094,5198,,
1427,LOURDES COLLEGE,6832 CONVENT BOULEVARD,,,SYLVANIA,OH,43560,,,
1428,LINCOLN LAND COMMUNITY COLLEGE,5250 SHEPHERD RD.,PO BOX 19256,,SPRINGFIELD,IL,62794,9256,,
1430,LEWIS AND CLARK CMTY COLLEGE,5605 GODFREY RD,,,GODFREY,IL,62035,2423,,
1449,MARTIN METHODIST COLLEGE,433 WEST MADISON STREET,,,PULASKI,TN,38478,,,
1461,MERIDIAN COMMUNITY COLLEGE,5500 HIGHWAY 19 NORTH,,,MERIDIAN,MS,39301,,,
1467,MIDWAY COLLEGE,512 E. STEPHENS ST,,,MIDWAY,KY,40347,1112,,
1483,BLACK HAWK COLLEGE QUAD CITY,6600 34TH AVENUE,,,MOLINE,IL,61265,,,
1489,MORTON COLLEGE,3801 S CENTRAL AVE,,,CICERO,IL,60804,,,
1495,MUSKEGON COMMUNITY COLLEGE,221 SOUTH QUARTERLINE ROAD,,,MUSKEGON,MI,49442,,,
1514,MONROE COUNTY COMMUNITY COLL,1555 SOUTH RAISINVILLE ROAD,,,MONROE,MI,48161,,,
1517,BISHOP STATE COMMUNITY COLL,351 N BROAD ST,,,MOBILE,AL,36603,5833,,
1520,MACCORMAC JUNIOR COLLEGE,29 EAST MADISON,,,CHICAGO,IL,60602,,,
1522,MONTCALM COMMUNITY COLLEGE,2800 COLLEGE DRIVE,,,SIDNEY,MI,48885,,,
1523,MID MICHIGAN COMMUNITY COLLEGE,1375 SOUTH CLARE AVENUE,,,HARRISON,MI,48625,,,
1524,MORAINE VALLEY CMTY COLLEGE,9000 W COLLEGE PKWY,,,PALOS HILLS,IL,60465,937,,
1525,MCHENRY COUNTY COLLEGE,8900 US HWY 14,,,CRYSTAL LAKE,IL,60012,,,
1526,MIAMI UNIVERSITY-HAMILTON,1601 PECK BOULEVARD,,,HAMILTON,OH,45011,,,
1527,BAKER COLLEGE OF MUSKEGON,1903 MARQUETTE,,,MUSKEGON,MI,49442,,,
1535,MUSKINGUM AREA TECHNICAL COLL,1555 NEWARK ROAD,,,ZANESVILLE,OH,43701,,,
1536,MADISON AREA TECH COLL-MADISON,3550 ANDERSON ROAD,,,MADISON,WI,53704,,,
1537,BLACK HAWK COLLEGE EAST,1501 STATE HWY. 78,,,KEWANEE,IL,61443,,,
1543,MOTLOW STATE COMMUNITY COLLEGE,6015 LEDFORD MILL RD,P O BOX 8500,,TULLAHOMA,TN,37388,7972,,
1546,MARION TECHNICAL COLLEGE,1467 MOUNT VERNON AVE,,,MARION,OH,43302,5628,,
1557,NORTHEAST MISSISSIPPI CMTY CLG,101 CUNNINGHAM BLVD,,,BOONEVILLE,MS,38829,1726,,
1562,NORTHWEST MISSISSIPPI CMTY CLG,4975 HIGHWAY 51 NORTH,,,SENATOBIA,MS,38668,,,
1564,NORTHWESTERN MICHIGAN COLLEGE,1701 EAST FRONT STREET,,,TRAVERSE CITY,MI,49684,,,
1569,NORTH CENTRAL MICHIGAN COLLEGE,1515 HOWARD STREET,,,PETOSKEY,MI,49770,,,
1573,OAKTON COMMUNITY COLLEGE,1600 EAST GOLF ROAD,,,DES PLAINES,IL,60016,,,
1575,NORTH CENTRAL TECHNICAL COLL,2441 KENWOOD CIRCLE,,,MANSFIELD,OH,44906,,,
1584,OLIVE-HARVEY COLLEGE,10001 SOUTH WOODLAWN AVENUE,,,CHICAGO,IL,60628,,,
1585,OAKLAND CITY UNIVERSITY,138 NORTH LUCRETIA STREET,,,OAKLAND CITY,IN,47660,,,
1607,OAKLAND COMMUNITY COL BLOOMFLD,2480 OPDYKE ROAD,,,BLOOMFIELD HILLS,MI,48304,,,
1608,OAKLAND CITY COLLEGE BEDFORD,405 I ST,,,BEDFORD,IN,47421,,,
1619,PARKLAND COLLEGE,2400 WEST BRADLEY AVENUE,,,CHAMPAIGN,IL,61821,,,
1620,PADUCAH COMMUNITY COLLEGE,PO BOX 7380,,,PADUCAH,KY,42002,7380,,
1622,PEARL RIVER COMMUNITY COLLEGE,101 HIGHWAY 11 NORTH,,,POPLARVILLE,MS,39470,,,
1623,MISSISSIPPI GULF COAST C C,PO BOX 548,,,PERKINSTON,MS,39573,,,
1628,SAINT CLAIR COMMUNITY COLLEGE,323 ERIE STREET,,,PORT HURON,MI,48060,,,
1644,PATRICK HENRY STATE JR COLL,POST BOX 646 HIGHWAY 21 SOUTH,,,MONROEVILLE,AL,36460,,,
1656,ROANE STATE COMMUNITY COLLEGE,276 PATTON LANE,,,HARRIMAN,TN,37748,,,
1662,UNIV OF WISCONSIN RICHLAND CTR,1200 US HWY 14 W,,,RICHLAND CENTER,WI,53581,1399,,
1670,ROBERT MORRIS COLLEGE,401 S STATE STREET,,,CHICAGO,IL,60605,,,
1673,REND LAKE COLLEGE,RURAL ROUTE 1,,,INA,IL,62846,,,
1674,ROCK VALLEY COLLEGE,3301 N MULFORD RD,,,ROCKFORD,IL,61114,5640,,
1688,STARK TECHNICAL COLLEGE,6200 FRANK AVENUE NORTH WEST,,,CANTON,OH,44720,,,
1690,ST CATHARINE COLLEGE,2735 BARDSTOWN RD,,,ST CATHARINE,KY,40061,,,
1720,SINCLAIR COMMUNITY COLLEGE,444 W THIRD ST,,,DAYTON,OH,45402,1421,,
1721,SNEAD STATE COMMUNITY COLLEGE,220 N. WALNUT STREET,,,BOAZ,AL,35957,,,
1722,MACOMB COMMUNITY COLLEGE,14500 E 12 MILE RD,,,WARREN,MI,48088,3870,,
1728,SOUTHERN UNION CMTY COLLEGE,750 ROBERTS STREET,,,WADLEY,AL,36276,,,
1729,SOUTHWEST MISSISSIPPI CMTY COL,1156 COLLEGE DRIVE,,,SUMMIT,MS,39666,,,
1742,MISSISSIPPI DELTA COMM COLLEGE,HWY 3 & CHERRY STREET,P O BOX 668,,MOORHEAD,MS,38761,,,
1749,STATE COMMUNITY COLLEGE,601 J R THOMPSON BOULEVARD,,,EAST ST LOUIS,IL,62201,,,
1752,SOUTHERN STATE COMMUNITY COLL,100 HOBART DRIVE,,,HILLSBORO,OH,45133,,,
1764,SCHOOLCRAFT COLLEGE,18600 HAGGERTY ROAD,,,LIVONIA,MI,48152,,,
1770,SOUTHEAST COMMUNITY COLLEGE,700 COLLEGE ROAD,,,CUMBERLAND,KY,40823,,,
1777,SOUTHEASTERN ILLINOIS COLLEGE,3575 COLLEGE RD BLDG 132 E-,,,HARRISBURG,IL,62946,4925,,
1779,SOMERSET COMMUNITY COLLEGE,808 MONTICELLO ROAD,,,SOMERSET,KY,42501,,,
1780,SAUK VALLEY CMTY COLLEGE,173 ILLINOIS ROUTE 2,,,DIXON,IL,61021,,,
1783,SOUTHWESTERN MICHIGAN COLLEGE,58900 CHERRY GROVE ROAD,,,DOWAGIAC,MI,49047,,,
1816,DELTA COLLEGE,1961 DELTA RD.,,,UNIVERSITY CNTR,MI,48710,,,
1821,TRITON COLLEGE,2000 FIFTH AVENUE,,,RIVER GROVE,IL,60171,,,
1822,HOCKING COLLEGE,3301 HOCKING PARKWAY,,,NELSONVILLE,OH,45764,,,
1845,UNIVERSITY OF TOLEDO,2801 W BANCROFT ST,,,TOLEDO,OH,43606,,,
1858,HINDS COMMUNITY COLLEGE,34175 HIGHWAY 18,UTICA CAMPUS,,UTICA,MS,39175,,,
1881,VOLUNTEER STATE COMMUNITY COLL,1430 NASHVILLE PIKE,,,GALLATIN,TN,37066,,,
1889,UNIV OF WISCONSIN FOX VALLEY,1478 MIDWAY ROAD,,,MENASHA,WI,54952,,,
1890,UNIV OF WISCONSIN MANITOWOC,705 VIEBAHN STREET,,,MANITOWOC,WI,54220,,,
1891,UNIV OF WISCONSIN MARINETTE,750 W BAYSHORE ST,,,MARINETTE,WI,54143,,,
1892,WAYNE GENERAL TECHNICAL COLL,10470 SMUCKER ROAD,,,ORRVILLE,OH,44667,,,
1925,WILBUR WRIGHT COLLEGE,4300 N NARRAGANSETT ROOM A-120,,,CHICAGO,IL,60634,,,
1932,WILLIAM R HARPER COLLEGE,1200 W. ALGONQUIN ROAD,,,PALATINE,IL,60067,,,
1933,LAWSON STATE COMMUNITY COLLEGE,3060 WILSON ROAD SOUTHWEST,,,BIRMINGHAM,AL,35221,,,
1936,WABASH VALLEY COLLEGE,2200 COLLEGE DRIVE,,,MT CARMEL,IL,62863,2657,,
1937,WAYNE COUNTY COMMUNITY COLLEGE,801 WEST FORT STREET,,,DETROIT,MI,48226,,,
1938,WAUBONSEE COMMUNITY COLLEGE,RT. 47 AT WAUBONSEE DR.,,,SUGAR GROVE,IL,60554,,,
1939,JAMES H FAULKNER ST CMTY COLL,1900 US HIGHWAY 31 S.,,,BAY MINETTE,AL,36507,,,
1941,WEST SHORE COMMUNITY COLLEGE,PO BOX 277,,,SCOTTVILLE,MI,49454,277,,
1942,UNIV OF WISCONSIN FOND DU LAC,400 UNIVERSITY DRIVE,,,FOND DU LAC,WI,54935,,,
1976,RICHLAND COMMUNITY COLLEGE,ONE COLLEGE PARK,,,DECATUR,IL,62521,,,
1978,CUYAHOGA COMMUNITY COLL ESTRN,4250 RICHMOND ROAD,,,HIGHLAND HILLS,OH,44122,,,
1982,CARL SANDBURG COLLEGE,2232 SOUTH LAKE STOREY,,,GALESBURG,IL,61401,,,
1983,COLLEGE LAKE COUNTY,19351 WEST WASHINGTON STREET,,,GRAYSLAKE,IL,60030,,,
1984,CINCINNATI TECHNICAL COLLEGE,3520 CENTRAL PARKWAY,,,CINCINNATI,OH,45223,,,
1985,CUYAHOGA COMMUNITY COLL WSTRN,11000 PLEASANT VALLEY,,,PARMA,OH,44130,,,
1993,UNIV OF WISCONSIN WASHINGTON C,400 UNIVERSITY DRIVE,,,WEST BEND,WI,53095,,,
1994,UNIV OF WISCONSIN SHEBOYGN CTR,1 UNIVERSITY DR,,,SHEBOYGAN,WI,53081,4760,,
1995,UNIV OF WISCONSIN MARATHON CTR,518 S 7TH AVE,,,WAUSAU,WI,54401,5362,,
1996,UNIV OF WISCONSIN BARABOO-SAUK,1006 CONNIE ROAD,,,BARABOO,WI,53913,,,
1997,UNIV OF WISCONSIN MARSHFLD WD,2000 W 5TH ST,,,MARSHFIELD,WI,54449,3310,,
1998,UNIV OF WISCONSIN ROCK COUNTY,2909 KELLOGG AVE,,,JANESVILLE,WI,53546,5606,,
1999,UNIV OF WISCONSIN WAUKESHA CTR,1500 N UNIVERSITY DR,,,WAUKESHA,WI,53188,2720,,
2001,VAUGHN COLL OF AERO AND TECH,86-01 23RD AVENUE,,,FLUSHING,NY,11369,,,
2009,ASSUMPTON COLLEGE FOR SISTERS,350 BERNARDSVILLE RD.,,,MENDHAM,NJ,7945,,,
2010,CAYUGA COMMUNITY COLLEGE,197 FRANKLIN ST.,,,AUBURN,NY,13021,,,
2017,ADIRONDACK COMMUNITY COLLEGE,640 BAY ROAD,,,QUEENSBURY,NY,12804,,,
2018,BRYANT & STRATTON COLLEGE,1259 CENTRAL AVENUE,,,ALBANY,NY,12205,5230,,
2024,ATLANTIC CAPE COMMUNITY COLL,5100 BLACKHORSE PIKE,,,MAYS LANDING,NJ,8330,9888,,
2025,CMTY COLL ALLEGHENY CO NORTH,8701 PERRY HIGHWAY,,,PITTSBURGH,PA,15237,5372,,
2032,BERGEN COMMUNITY COLLEGE,400 PARAMUS ROAD,,,PARAMUS,NJ,7652,,,
2033,ART INSTITUTE OF PHILADELPHIA,1622 CHESTNUT STREET,,,PHILADELPHIA,PA,19103,,,
2048,BROOME COMMUNITY COLLEGE,907 FRONT STREET,,,BINGHAMTON,NY,13905,,,
2051,BRONX COMMUNITY COLLEGE-CUNY,UNIV AVE & WEST 181 STREET,,,BRONX,NY,10453,,,
2058,BRYANT STRATTON BUSINESS INST,465 MAIN STREET STE 400,,,BUFFALO,NY,14203,,,
2061,BERKELEY COLLEGE- GA MT CAMPUS,44 RIFLE CAMP RD,ANNETTE LONG- CENTRAL ADMISS.,,WEST PATERSON,NJ,7424,,,
2066,BUCKS COUNTY COMMUNITY COLLEGE,275 SWAMP ROAD,,,NEWTOWN,PA,18940,,,
2069,BUTLER COUNTY COMMUNITY COLL,PO BOX 1203,,,BUTLER,PA,16003,1203,,
2078,CAZENOVIA COLLEGE,22 SULLIVAN ST,,,CAZENOVIA,NY,13035,,,
2106,CORNING COMMUNITY COLLEGE,1 ACADEMIC DRIVE,,,CORNING,NY,14830,,,
2121,CAMDEN COUNTY COLLEGE,POST OFFICE BOX 200,,,BLACKWOOD,NJ,8012,,,
2122,CMTY COLL ALLEGHENY CO BOYCE,595 BEATTY ROAD,,,MONROEVILLE,PA,15146,,,
2123,CMTY COLL ALLEGHENY CO SOUTH,1750 CLAIRTON ROAD ROUTE 885,,,WEST MIFFLIN,PA,15122,,,
2124,COUNTY COLLEGE OF MORRIS,214 CENTER GROVE ROAD,,,RANDOLPH,NJ,7869,,,
2125,DELAWARE COUNTY COMMUNITY COLL,901 S. MEDIA LINE RD.,,,MEDIA,PA,19063,1094,,
2126,COMMUNITY COLLEGE BEAVER CO,ONE CAMPUS DRIVE,,,MONACA,PA,15061,,,
2134,FINGER LAKES COMMUNITY COLLEGE,4355 LAKE SHORE DR.,,,CANANDAIGUA,NY,14424,,,
2135,CLINTON COMMUNITY COLLEGE,136 CLINTON POINT DR,,,PLATTSBURGH,NY,12901,,,
2138,COLUMBIA GREENE COMMUNITY COLL,4400 ROUTE 23,,,HUDSON,NY,12534,,,
2156,CMTY COLL ALLEGHENY CO ALGHNY,808 RIDGE AVENUE,,,PITTSBURGH,PA,15212,,,
2180,BURLINGTON COMMUNITY COLLEGE,601 PEMBERTN BROWNS MILLS RD,,,PEMBERTON,NJ,8068,,,
2181,BROOKDALE COMMUNITY COLLEGE,765 NEWMAN SPRINGS RD,,,LINCROFT,NJ,7738,,,
2198,DUTCHESS COMMUNITY COLLEGE,53 PENDELL ROAD,,,POUGHKEEPSIE,NY,12601,,,
2201,CORPORATION CORINTHIAN COLLEGE,100 FORBES AVE SUITE 1200,,,PITTSBURGH,PA,15222,,,
2213,ERIE COMMUNITY COLL CITY,121 ELLICOTT STREET,,,BUFFALO,NY,14203,,,
2228,ERIE COMMUNITY COLLEGE NORTH,6205 MAIN ST,,,WILLIAMSVILLE,NY,14221,,,
2232,EDWARD WILLIAMS COLLEGE,1000 RIVER ROAD,,,TEANECK,NJ,7666,,,
2237,ESSEX COUNTY COLLEGE,303 UNIVERSITY AVENUE,,,NEWARK,NJ,7102,,,
2260,MANOR COLLEGE,700 FOX CHASE RD,,,JENKINTOWN,PA,19046,,,
2272,GENESEE COMMUNITY COLLEGE,1 COLLEGE ROAD BOX 718,,,BATAVIA,NY,14020,,,
2281,GLOUCESTER COUNTY COLLEGE,TANYARD ROAD,POST OFFICE BOX 203,,SEWELL,NJ,8080,,,
2287,HARCUM COLLEGE,750 MONTGOMERY AVE,,,BRYN MAWR,PA,19010,,,
2291,HUDSON COUNTY COMMUNITY COLL,70 SIP AVENUE,,,JERSEY CITY,NJ,7306,,,
2300,HUDSON VALLEY COMMUNITY COLL,80 VANDENBURGH AVENUE,,,TROY,NY,12180,,,
2303,HOSTOS COMMUNITY COLLEGE,500 GRAND CONCOURSE,,,BRONX,NY,10451,,,
2309,HARRISBURG AREA COMMUNITY COLL,1 HACC DRIVE - COOPER CENTER,,,HARRISBURG,PA,17110,,,
2316,HERKIMER COUNTY COMMUNITY COLL,100 RESERVOIR RD,,,HERKIMER,NY,13350,,,
2334,HILBERT COLLEGE,5200 SOUTH PARK AVENUE,,,HAMBURG,NY,14075,,,
2345,JEFFERSON COMMUNITY COLLEGE,PO BOX 473,1220 COFFEEN STREET,,WATERTOWN,NY,13601,473,,
2346,JAMESTOWN BUSINESS COLLEGE,7 FAIRMOUNT AVENUE,,,JAMESTOWN,NY,14701,,,
2358,KINGSBOROUGH COMMUNITY COLLEGE,2001 ORIENTAL BLVD,,,BROOKLYN,NY,11235,,,
2373,LACKAWANNA COLLEGE,501 VINE ST,,,SCRANTON,PA,18509,,,
2380,LIM COLLEGE,12 E 53RD ST,,,NEW YORK,NY,10022,5268,,
2381,LEHIGH CARBON COMMUNITY COLL,4525 EDUCATION PARK DR,,,SCHNECKSVILLE,PA,18078,,,
2382,LUZERNE COUNTY COMMUNITY COLL,521 TRAILBLAZER DR,,,NANTICOKE,PA,18634,,,
2414,MOHAWK VALLEY COMMUNITY COLL,1101 SHERMAN DRIVE,,,UTICA,NY,13501,,,
2429,MONROE COMMUNITY COLLEGE,1000 E HENRIETTA RD,,,ROCHESTER,NY,14623,,,
2434,MARIA COLLEGE,700 NEW SCOTLAND AVENUE,,,ALBANY,NY,12208,,,
2441,MIDDLESEX COUNTY COLLEGE,"TRANSFER CTR., 2600 WOODBRIDGE",POST OFFICE BOX 3050,,EDISON,NJ,8818,,,
2445,MONTGOMERY COUNTY CMTY COLLEGE,340 DEKALB PIKE,,,BLUE BELL,PA,19422,1412,,
2523,SUNY CANTON,34 CORNELL DR,,,CANTON,NY,13617,,,
2524,SUNY COLL TECH & AGR COBLESKIL,STATE ROUTE 7,KNAPP HALL,,COBLESKILL,NY,12043,9986,,
2525,SUNY DELHI,2 MAIN ST,,,DELHI,NY,13753,,,
